"Accession"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"F20"	"F21"	"F22"	"F23"	"F24"	"F25"	"F26"	"F27"	"F28"	"F29"	"F30"	"F31"	"F32"	"F33"	"F34"	"F35"	"F36"	"F37"	"F38"	"F39"	"F40"	"F41"	"F42"	"F43"	"F44"	"F45"	"F46"	"F47"	"F48"	"F49"	"F50"	"F51"	"F52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"F63"	"F64"	"F65"	"F66"	"F67"	"F68"	"F69"	"F70"	"F71"	"F72"	"F73"	"F74"	"F75"	"F76"	"F77"	"F78"	"F79"	"F80"	"F81"	"F82"	"F83"	"F84"	"F85"	"F86"	"F87"	"F88"	"F89"	"F90"	"F91"	"F92"	"F93"	"F94"	"F95"	"F96"	"F97"	"F98"	"F99"	"F100"	"F101"	"F102"	"F103"	"F104"	"F105"	"F106"	"F107"	"F108"	"F109"	"F110"	"F111"	"F112"	"F113"	"F114"	"F115"	"F116"	"F117"	"F118"	"F119"	"F120"	"F121"	"F122"	"F123"	"F124"	"F125"	"F126"	"F127"	"F128"	"F129"	"F130"	"F131"	"F132"	"F133"	"F134"	"F135"	"F136"	"F137"	"F138"	"F139"	"F140"	"F141"	"F142"	"F143"	"F144"	"F145"	"F146"	"F147"	"F148"	"F149"	"F150"	"F151"	"F152"	"F153"	"F154"	"F155"	"F156"	"F157"	"F158"	"F159"	"F160"	"F161"	"F162"	"F163"	"F164"	"F165"	"F166"	"F167"	"F168"	"F169"	"F170"	"F171"	"F172"	"F173"	"F174"	"F175"	"F176"	"F177"	"F178"	"F179"	"F180"	"F181"	"F182"	"F183"	"F184"	"F185"	"F186"	"F187"	"F188"	"F189"	"F190"	"F191"	"F192"	"F193"	"F194"	"F195"	"F196"	"F197"	"F198"	"F199"	"F200"
"Q13138"	NA	NA	NA	NA	336.211049397786	NA	550186.758504894	18205424.626704	4302176.2690523	NA	NA	NA	10233355.877248	1412861.88216971	16325769.2521536	17541965.0319936	NA	NA	10509941.2637947	13257415.6210752	3593120.9551457	NA	1763413.98406694	8612065.19084135	NA	1262524.36808829	17211520.8020709	14206997.5071695	2113282.6956893	NA	NA	NA	19534933.6280559	3882279.10486387	NA	NA	5466789.62817674	NA	NA	6154008.48267145	12915993.0308112	NA	19480418.2655876	4260974.24278241	NA	NA	17411004.809685	NA	NA	5762711.45487549	NA	2085296.4328184	NA	NA	NA	NA	5328857.97329514	18154855.2072201	16073504.1606604	2416209.78781173	NA	NA	18600220.984821	19515056.5284809	NA	NA	NA	NA	12061410.924892	NA	19948706.0802933	NA	NA	13489309.1917997	NA	10200073.8120269	NA	20047005.653106	NA	NA	NA	7071619.38123211	NA	6309219.06453334	7843602.56024658	NA	6298744.96118062	NA	11461803.9598754	7621734.96701233	9745728.76729737	15936610.779341	14930495.1038283	18507295.0489491	NA	NA	15282656.4026952	NA	7312600.17490563	15145661.4752388	NA	NA	NA	16908871.3724902	18261227.8549546	12585106.7563739	NA	2484090.20172754	NA	7932860.44408333	10155037.3769762	NA	19558451.4992536	NA	NA	NA	NA	NA	5007441.76121208	NA	16897786.1317466	NA	10981481.3814264	3729576.39376723	9275387.89812331	NA	15125578.0285839	13754956.3701279	18362715.457794	NA	1511960.87147376	20193011.0490978	NA	NA	17507353.3167057	4371651.13814159	NA	NA	NA	2227388.67180908	10715190.5890256	15589035.8255513	9397016.00189052	NA	NA	20016884.151918	10390751.285632	NA	3152060.44348586	NA	11359643.1832352	10599022.2127667	NA	19550425.7665304	NA	14133477.0142862	11235444.092116	2989783.07846557	NA	18939057.2939521	NA	NA	20408221.9980253	19004885.4528256	NA	NA	NA	17055679.0448246	NA	NA	NA	NA	3523967.71702858	15517169.0833623	655045.869156844	6564471.19703092	13767937.7732273	11572215.2078755	1854017.14484549	19460299.1493056	NA	7513302.58865053	NA	NA	12575990.2306548	NA	18735097.4761819	10393972.5061134	9518126.66765691	159899.229693309	NA	17212040.0007124	NA	NA	1689460.268906	NA	3827934.38178046	13040828.2937274	18919583.5000398	20267537.1675561
"P01037"	NA	16132.7395019531	5149.11962890625	NA	NA	683.784215291341	6803163.31017858	NA	NA	NA	NA	NA	NA	NA	10715147.4390551	NA	NA	1664623.74926614	12261841.2149753	5644438.30889905	NA	4761743.94485982	776858.602264057	16955785.7306116	15661918.0719368	12285791.6470209	3678032.71666213	NA	14909496.3239108	5685072.30492216	NA	8786516.51965873	19559122.5793196	NA	15434033.4323043	NA	11629205.1364505	NA	12114724.9118584	19396718.9049901	NA	NA	2326261.6186508	NA	NA	1290249.6992618	6596076.94204853	NA	14795930.5456407	NA	NA	NA	NA	NA	17048528.0935279	11651525.0772918	10337223.5331026	NA	7556043.26730343	7725017.21462147	12764995.5144241	20019337.918673	5248719.15145164	13933577.2432876	20409832.2133115	NA	16742583.7677938	NA	NA	16511392.1882744	19936995.6741358	17999835.1932914	NA	14675851.4296927	NA	NA	6538268.429792	NA	727869.172149656	3565032.57987771	9627164.13061267	14726873.2671955	NA	5365108.26445857	NA	1215889.36177194	NA	NA	NA	15155655.5708585	10030919.1087782	NA	18377415.5363999	NA	977085.062507778	19880126.7967407	NA	NA	13082552.6164145	NA	5879701.66962181	NA	NA	NA	7448794.81030894	NA	3418536.61230923	NA	11104107.7113195	NA	NA	NA	10961389.0173646	NA	NA	NA	NA	1269663.75150032	10428791.0395715	10405629.9550564	NA	15589591.9976456	2982884.38890087	12697772.3952342	7940176.85277131	NA	13195355.5233823	11838100.4390901	8477539.7950112	16665787.9980037	NA	NA	6025577.8345925	NA	7799145.75187834	19653615.0475566	NA	NA	NA	7996404.56671533	20365119.4839339	2190273.62535365	NA	NA	2702419.93992071	20299704.4760351	NA	14130444.2680032	10805800.5116158	16480644.8221746	13678852.113352	NA	NA	NA	NA	17967601.5372122	NA	9160167.87903463	16550638.8994223	NA	NA	NA	4986529.85225421	2240863.91080809	NA	NA	NA	NA	905719.336776973	NA	6930127.84902629	NA	NA	3332840.23795813	NA	550873.741438305	5790538.20846531	NA	NA	1788869.11192406	NA	NA	6400893.82256654	NA	4335766.55106753	NA	NA	13740850.3982839	NA	NA	15434758.1214977	NA	NA	NA	13824138.325721	8758826.25378436	NA	NA	NA	17871532.738883
"Q9NZT1"	NA	32503.1015625	22658.5482788086	2111.84317398071	NA	297.648213704427	NA	12714965.8121825	2102333.61908397	13326046.1725791	12018134.5689532	14090668.5985546	3024840.07404005	NA	8494942.57116242	NA	9521797.12748711	6678963.16267501	17844449.7893336	14911762.4396859	NA	NA	NA	17763003.7489364	15054738.5297815	13872518.9596207	2194840.69855398	519858.80555021	834068.2635461	NA	9849143.64348807	16352514.4870409	NA	NA	NA	20253271.5865027	NA	NA	NA	343326.213946715	20355412.7772057	NA	18630087.9925461	NA	4116884.37143475	14188620.3925028	NA	6710729.16405636	1443134.18936404	2150536.00477625	15486475.3216315	3401282.80538786	NA	NA	NA	13716579.0442809	9733624.88651368	NA	5697574.13331088	7288389.301287	NA	12256872.1066287	11070999.1263007	NA	NA	3329042.66939261	9324078.64269537	14862953.6322645	11326447.9175963	13851031.8303405	NA	9869875.61973373	NA	NA	6903949.12642797	NA	NA	NA	NA	18997001.4944981	NA	11625875.8078768	16487794.307857	2275368.82182956	13988193.9472778	NA	19262724.9609083	NA	10466827.1151998	10711909.4782124	17941193.3888665	10829717.1488785	NA	NA	929985.760986201	19319384.2744855	19387154.0821029	NA	NA	12372782.4681434	NA	NA	NA	1934159.88768322	9978156.78285928	15474167.8156231	13509591.7002891	NA	NA	16793786.9322458	NA	586227.72377485	NA	NA	NA	NA	NA	4052368.21339553	8192813.07778881	1233986.05397379	NA	16215982.6223413	9182719.00626395	NA	NA	NA	4882967.63423661	17855577.2902104	NA	NA	NA	NA	3616889.92224582	16662784.2547059	NA	7976838.60564609	9272505.83412585	NA	NA	11002550.8582022	NA	NA	6680594.69122963	1991278.88073216	294416.164931539	17938974.0775808	1892704.95728543	NA	20339702.8141779	NA	NA	NA	NA	NA	2982424.51908961	NA	NA	NA	NA	15643617.1359068	5891694.26364327	NA	NA	8640325.49028601	11115407.0697542	8810054.94752523	NA	14915849.6621833	6256446.71247993	NA	10225766.3646499	NA	NA	214879.334664697	NA	14897695.8919161	NA	NA	17508627.4494913	NA	NA	3499540.8461161	2211175.88885604	NA	2458622.34967312	6565838.33446725	15950830.6789082	11842816.7004108	NA	NA	NA	NA	NA	NA	17805366.9176909	6458915.93859739	NA	5803720.75285856	18433589.217711	8708220.6031717
"P02814"	NA	162.795074462891	139690.936683655	NA	NA	218.376347859701	NA	6297851.62640883	NA	NA	17870939.4315472	10651478.7963054	16410083.3285251	NA	20024302.3827353	NA	NA	NA	19186720.6419004	NA	NA	NA	NA	NA	NA	4768153.38570747	10084121.3854769	NA	NA	4866949.53055054	NA	16312093.7759734	NA	NA	NA	2999235.27269683	NA	NA	556414.958056098	16937663.442502	NA	NA	NA	NA	NA	NA	7955407.012681	18132777.5067347	11831801.8567408	NA	12229654.6822042	11243881.0629016	NA	NA	449764.095795222	7451434.20092801	14367409.3735316	NA	10142660.9157162	NA	11905479.1608424	18301948.631526	9463383.81138742	15196554.9287314	2570412.06506976	NA	NA	NA	NA	NA	NA	NA	18706678.5477765	2019768.49647899	NA	NA	NA	13413526.313796	20204215.1616337	NA	NA	1412673.87430313	NA	NA	NA	9407815.18611931	NA	14368496.0694691	NA	NA	4073643.58995333	NA	NA	15117315.1851549	NA	NA	NA	NA	11408274.618011	NA	13356061.174044	NA	13710185.967874	NA	6794904.3639514	13052668.5970943	3884657.67798926	NA	9211195.4029307	NA	8399839.53179463	NA	3056084.59270565	NA	3025013.42100466	10757174.1303544	14789660.2858128	11875623.4735606	NA	NA	8023275.38286332	19330499.0892329	7649919.70166525	NA	8752563.04603587	13208962.9484235	7163785.27234368	NA	3856225.78746211	NA	7573024.37478622	5619820.32282722	14531809.8236903	NA	NA	7798592.22550343	15544544.722759	3598041.87428294	6351593.26346331	16550119.7388488	19917686.8617659	7353992.76910872	19046544.9553872	NA	NA	NA	NA	10604779.0983427	2981348.70581446	17395704.4763506	9178550.01390631	NA	NA	15498813.9196014	14326813.6214777	10896584.9089323	16639634.0147853	318022.539250253	NA	NA	18980997.1904277	9064886.58670095	14972677.1835579	7912746.7286853	NA	NA	3013799.66777175	NA	NA	NA	NA	NA	13790235.9344684	12320427.5449455	NA	10540123.9305893	9310469.26667406	NA	NA	18722240.502789	17008028.5914137	NA	NA	NA	NA	15075121.4280954	1331828.17428728	NA	826837.236410899	NA	3836131.25828828	NA	NA	17922305.2649164	NA	19955964.7685201	13588580.3194123	NA	NA	8709917.17550076
"L8B4J3"	11498.9603881836	2377.63818359375	NA	NA	NA	NA	NA	NA	12830922.0217305	NA	NA	NA	NA	4062645.13451652	18732304.4054298	15304730.8721671	NA	15526382.4062472	20157856.0096336	10965472.1856301	NA	19667273.8690283	NA	NA	NA	3380821.1969216	NA	15210555.3002066	6222436.29402945	NA	15012179.715787	NA	2058407.83895869	9104944.61531906	NA	7768356.51584143	NA	NA	NA	16864719.6070045	18091069.1582923	NA	4484889.97496681	179769.819656572	5232906.15288005	20401920.0799757	15396303.3464977	NA	NA	14800402.1921198	18838002.8134621	NA	NA	5169534.92039781	18306121.088063	8534375.86738903	NA	NA	20383077.5233082	NA	9473103.58016553	NA	NA	NA	NA	15083951.2549037	NA	2619789.04073411	NA	NA	NA	NA	NA	NA	NA	1226315.33301707	13896890.7510329	19450732.489642	NA	NA	18138178.062443	NA	NA	NA	3172749.2412101	11972714.5949996	8605494.57048328	8873105.07722749	1086972.12972929	NA	12705399.728296	NA	NA	NA	11497939.1003842	NA	NA	6821621.47141535	NA	10114494.6820652	5068508.80049712	20036679.5768025	14228118.8086397	NA	5576791.89839622	11967133.1834325	NA	12135487.7897261	917433.801924877	NA	12388082.2399762	14219403.4282297	10770185.2930387	4344480.75613095	18651888.7490215	9953563.39817116	NA	NA	NA	7529153.70747063	NA	NA	19510271.6735536	15069643.4327511	NA	NA	NA	11734012.9315663	13260816.2175258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14082044.2480228	NA	2390136.69889173	NA	NA	NA	NA	NA	5526896.23324867	NA	NA	7652143.49544676	11172320.8530019	NA	557272.014114279	NA	12546307.5762774	NA	7606830.6921632	NA	NA	15197476.8667755	NA	NA	4990866.5575265	NA	2994905.72419072	18371619.6217042	5701109.09519117	1243653.38897104	NA	17647003.5947504	10236943.5917279	6941169.11658094	9994717.83480112	NA	NA	273201.611369204	15582139.6484684	NA	11123921.9845756	6630790.44139782	NA	8816253.14005019	NA	NA	NA	NA	11587155.7138533	NA	NA	5353373.99448301	4914057.20225276	748242.729551297	NA	NA	11193792.5552635	NA	NA	4389703.91425636	NA
"A0A140VK00"	NA	28389.0682729085	NA	NA	992.901870727539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17274872.9101893	3810617.16324608	NA	16030042.7471177	16671597.0604022	18121259.8907244	16478877.7671192	19605547.2890109	19371139.3854943	NA	NA	4527310.38833364	4803222.59632101	NA	NA	13062985.0089084	NA	NA	16420074.0694106	15766359.9393143	NA	989431.240749295	NA	18621316.5666628	10829243.5984139	2571238.09102675	NA	NA	NA	17868878.9443204	342751.174446902	12896021.656069	3819422.57901025	NA	NA	4292126.17078569	NA	19431334.217695	NA	15525767.0100094	1595236.49346056	12601144.298484	6799199.23259592	NA	10762836.9215858	NA	NA	NA	NA	NA	3951672.2421608	NA	17615674.122796	6735535.55294929	NA	14978731.0558959	1915067.58652389	15250326.8963893	NA	NA	7966307.82394109	13751282.9219672	NA	NA	3096906.75838394	5902839.18058668	10965459.0379274	7438903.47899927	16120411.8521399	NA	5019585.38964724	19832413.3790146	NA	18282032.5837255	76261.6675812668	1103961.70732097	1668494.35586619	NA	4085660.59026048	NA	NA	8821199.45999715	2700961.31103282	10487297.7076916	8280077.8545908	NA	NA	14211938.6403644	NA	NA	NA	7766017.86643157	NA	NA	10459119.273277	NA	NA	3745313.13280781	14958629.2509937	NA	2787186.60561664	15307241.4362367	17146200.0883733	NA	17129558.5037781	9934567.33743454	8842407.00906493	7649862.1667851	19968308.8625438	NA	7710728.31697615	6358475.44583264	NA	NA	NA	NA	19666703.816424	4528185.57899014	NA	14690219.5371317	NA	13547934.3986179	NA	NA	19764104.5155848	NA	20062883.8524822	7220456.99605797	NA	19789606.35752	NA	6199147.08722102	NA	19537325.4773632	9482867.01758934	12942341.2222063	1141905.09235863	7488808.53740242	NA	NA	NA	NA	NA	12287723.2839058	NA	1929196.72744673	NA	4349820.41746641	17037175.8730485	18558869.8608421	4041163.08254314	NA	NA	NA	19561028.3205121	NA	9643109.14392084	NA	18618493.5983296	NA	8522460.31329063	NA	14894947.8697712	8968868.42344415	195682.60848303	20155508.4666094	7660476.24106658	2726748.56708696	1570441.96747858	NA	NA	18931584.7116833	NA	15082926.8856439	11562248.740038	NA	8154547.47172645	12801374.5179334	NA	14964199.77514	7517439.55162446	10884422.7223934	NA	18510435.608298	NA
"P04259"	NA	NA	NA	NA	NA	NA	NA	NA	16834288.442442	NA	5220698.77022073	6831773.701113	NA	NA	2852141.32019871	5671909.33219065	6950436.84326079	11548951.8444161	16588517.469093	NA	2066681.85055934	19557256.9379068	11632900.8590942	NA	NA	NA	7469598.24477106	14618394.3175102	NA	10596103.3608974	8591080.40087907	NA	NA	NA	NA	NA	NA	NA	7123303.83820896	NA	NA	15999366.1492536	9981122.16798415	NA	NA	NA	NA	NA	17036083.3765139	14296162.7860685	13990540.4481931	NA	8488164.00011394	11536598.9471894	9062052.5215734	4881714.04384438	NA	NA	NA	NA	19957918.7274729	4258701.46988243	2241396.75679352	NA	1237747.90056881	NA	NA	1950223.64430455	3398932.13603695	11021251.9450172	NA	NA	NA	NA	5090119.06041657	19786250.5812693	13277299.2445375	NA	NA	7134016.40843655	9600990.60904189	14782675.4295447	6314467.4533077	NA	NA	16652278.7072635	13295669.5402907	19916980.1406236	NA	18022205.3599751	6253897.46190178	NA	2615986.71843894	NA	11413057.0032829	2093563.08303789	NA	NA	NA	8218147.41142438	8517143.91144522	NA	19424727.5613062	NA	NA	3656860.58978009	NA	NA	1948558.24483132	NA	NA	NA	13247999.6960406	NA	15742448.9646525	18225120.9132465	NA	6743280.74424547	NA	NA	18046267.8258655	12103276.6983977	9592139.41662176	NA	NA	1599867.02585879	14650729.9051639	11875339.2918901	10114539.6640536	NA	17611507.3431354	NA	NA	NA	NA	17800361.8494493	11257452.099784	19022210.3039749	445218.150282254	NA	NA	6925587.13309179	11252650.3712578	NA	NA	NA	7238547.37850454	7064976.3271675	NA	NA	13610850.7386675	3858189.48704014	10249948.1305966	16377543.8634468	NA	1817832.08303754	818635.039913325	3771475.6099276	NA	1216416.2168208	8220364.14836798	6452725.40723834	NA	9737001.27177656	9551002.66253375	NA	9647360.16785559	19447229.4001153	13037472.4984427	12322263.2840188	NA	NA	NA	NA	7632467.15648653	NA	NA	9371727.31643171	NA	20029896.1520961	18997321.845437	2820142.39082269	NA	NA	4971790.83018137	8420762.675543	12701690.8769835	18587148.6041868	NA	4328445.11741607	NA	10074816.3903179	19799607.7954869	NA	NA	NA	16540958.4167223	NA	NA	6595155.19910252
"P81605"	NA	9984.41015625	NA	NA	NA	NA	NA	1653624.38971658	NA	NA	NA	NA	8461515.57666787	13506894.4845221	NA	15804854.9330561	NA	NA	12580966.2340508	14220147.7794962	13227953.5606912	NA	17829178.9966936	NA	12347410.0380517	17179983.4508034	NA	NA	10504094.5332041	3171353.83835418	NA	NA	NA	138230.821048735	NA	NA	NA	NA	5269613.69192777	NA	NA	156067.328635829	10244539.2189832	NA	NA	NA	NA	1242205.22875707	384691.037613002	8438785.14008829	18377251.4066268	NA	14648574.4432722	19197641.6672181	15534341.6866835	8132222.5725405	11361719.5828464	5011918.86091857	12926444.8263715	NA	NA	NA	NA	13613422.530204	14970845.5796107	18562603.4420175	NA	NA	19926002.1342172	NA	NA	9571701.50542646	NA	5190452.43961319	NA	NA	NA	400067.216489901	NA	NA	NA	NA	NA	4382998.27655568	NA	14130521.2365489	16606374.5809337	NA	16114542.4330778	NA	9432619.76678674	NA	NA	2210955.86588122	9098109.75611432	18486820.5211875	7841619.26045589	6516071.11043169	19699624.2508217	19233857.6068556	6420437.4996358	4601776.36901879	16073363.257068	13739629.5177391	8218639.044144	NA	5958008.27367321	NA	3859119.22424624	18882200.0415436	2512766.28834928	NA	15369569.0085481	NA	7054616.86531116	13440813.6404113	NA	NA	NA	14491378.3489226	11105154.0219682	NA	6111259.32439268	383503.314213665	9486893.59315529	11338785.6400044	NA	NA	9540497.09605743	NA	NA	NA	NA	4598425.31794679	NA	2041950.50778294	409677.121293728	14134967.1586411	NA	NA	NA	15774074.5858751	NA	NA	15654036.5594722	6730985.45803466	4176927.98364062	17794431.8072483	1068631.89334571	NA	9498157.38189104	10709349.3069039	NA	NA	1885934.92296469	NA	NA	8163400.56754184	NA	NA	NA	4314143.09586045	16843233.4199049	11367828.5061338	NA	13761171.3981839	19270353.4883507	6313754.48902902	1011633.10446579	8213718.5104443	NA	NA	9851707.84523597	NA	1102480.42327103	6163857.04944817	NA	15012100.5726122	NA	174660.47866428	1324454.09748148	NA	6087532.00833929	241563.36111907	3014767.24923406	20147606.7591211	10593084.5760186	NA	17798042.2768184	NA	4302976.91799202	NA	18491680.0177598	19150536.1749034	6867532.77830377	12617796.3565116	20004673.4573509	15422043.7790285	16764178.8291021	6437663.96428429
"Q5EBL4"	2036731.96900471	NA	NA	NA	NA	15166818.2084117	NA	NA	NA	NA	NA	15834042.5761873	1313433.77679164	NA	NA	2629982.312392	NA	5741338.17242412	NA	NA	18975820.5073112	NA	3230676.23506293	NA	NA	11575147.8783943	17621857.2166381	19822388.2913617	1311913.14956172	18437921.8639929	16755137.7159032	4414050.99959813	NA	NA	NA	NA	1046383.08714367	NA	17455235.8325492	NA	736547.831306643	2238708.79628596	6444556.8294595	NA	NA	13983686.4122812	5746527.19905888	1009726.47819457	10384222.2925282	NA	7232284.31826919	8807307.98176468	NA	1676059.83809911	NA	6403729.31048205	17749393.2499119	NA	NA	NA	20036579.8436495	NA	17723288.8739324	13768710.2090908	17209027.673102	NA	NA	17788429.7405707	NA	NA	NA	18698889.4118423	14704910.4318554	NA	NA	8996045.20086286	17921056.5424576	149231.684280548	8396071.05662563	17091047.6880631	NA	NA	NA	NA	3224605.79366918	NA	14679033.9684241	1546809.31678833	NA	NA	NA	3812604.58864599	NA	NA	NA	3731046.80943026	NA	NA	NA	NA	NA	NA	14835420.3060876	3851693.47025919	NA	NA	NA	NA	12134060.7857504	20175258.6668226	NA	5569142.9713152	12241070.2809873	8269887.60457288	15792084.5451135	NA	NA	NA	NA	19400400.5567844	3307141.33751186	9964958.59255701	NA	NA	NA	15745384.8471508	15467882.9662706	NA	NA	NA	10406741.11914	12602595.8848095	NA	NA	9321883.82334817	14262286.4189875	10089109.2327499	9828593.56996872	4630983.42202315	2402381.35478869	13027196.9668003	13295849.7537537	13839509.5462533	12969853.0542922	8557677.03227816	1952196.02812344	NA	14947874.401599	16260465.7118396	14376254.5464642	NA	NA	14534474.4866399	NA	NA	9150895.73171929	NA	NA	1559848.78771854	10901358.8098199	1781201.93128252	14878541.1736678	NA	11490664.2285393	NA	15615005.2032222	1862980.39966141	2870406.69128831	NA	NA	13553552.4457853	NA	17779078.5404918	NA	1312246.2960752	7851663.53909149	19470295.1768714	NA	NA	6487642.80304612	NA	NA	7423204.46049421	14596227.4001306	NA	18801755.3393237	12631340.0082947	NA	NA	13650034.3094363	NA	NA	10599101.2655303	14959985.186949	NA	NA	8891924.33157861	8780472.38318744	17524413.9432839	6302975.5045824
"Q9UP60"	2189240.83356981	19168808.9311666	699236.430596424	NA	NA	13454987.5301566	13812734.5137131	NA	2340267.85258336	11630317.7185635	NA	2448018.99150694	NA	NA	NA	8962073.03589857	13871184.4701715	NA	NA	NA	2673319.91959018	6051901.12957762	NA	NA	NA	NA	3881115.98284824	12944942.7162258	NA	NA	NA	NA	27154.3316476228	11408349.7212294	NA	NA	10550252.7056989	6158463.34120436	NA	14527246.3526655	NA	3582126.38263522	NA	NA	NA	NA	14139260.1429243	4944965.4385612	7510181.66282368	15590975.6137264	5605107.04893372	NA	NA	NA	NA	13900216.0729595	NA	NA	19842764.2613169	NA	NA	NA	3893688.46526893	NA	NA	NA	NA	18218570.8305233	NA	14701372.5768144	8921382.42338352	12652257.8082609	NA	NA	1743945.24366898	NA	7710970.74291316	15416544.0944952	365854.514708404	NA	NA	NA	NA	NA	11011431.1820867	20317909.9996193	NA	NA	NA	NA	NA	11173741.5900487	NA	2599667.64989471	12902878.5661078	NA	NA	3459299.67280628	NA	NA	NA	3922084.63858406	NA	1468982.13041748	9216778.24680278	NA	5962899.55694628	15795764.6075728	2020545.71462308	9279318.6948399	7730082.62049272	13604409.3160211	NA	521614.706709456	6102686.6224912	7802532.6200906	6512077.92041855	NA	13876381.2579004	NA	NA	17925797.2957167	3298358.27236649	9108094.04924838	9830757.62093157	NA	NA	13010110.0686091	10789934.3892826	14691462.0783145	9697889.53990329	9472309.04112459	NA	10288137.1297583	NA	5784698.82498039	16879472.5762061	NA	15857472.7246561	19523057.7502316	10078907.3196776	NA	NA	9450089.25694174	8118023.21060811	6079742.81530323	NA	12954570.8127298	NA	NA	NA	NA	NA	NA	6141797.59776486	NA	NA	13652833.6518759	NA	NA	17009444.2701876	NA	NA	NA	NA	17612186.8314499	8454245.73454487	3721364.93249324	5822779.45433311	13591029.0849963	NA	14430231.4479311	NA	2532954.83573187	NA	NA	15258802.2205894	20433296.1613215	NA	17014715.4473617	NA	NA	NA	4824763.42989843	10261164.1155604	5138193.22388732	NA	NA	12862040.0978491	2605629.01722321	NA	NA	9172056.66187873	3633071.81309383	NA	9822924.3642953	4565683.61712236	NA	11396729.8833767	6343624.53742805
"A0A024R8D7"	10417522.0545667	NA	NA	NA	11395145.7398471	NA	14131657.2589745	2835394.31605716	9915702.58241978	NA	NA	11359729.2167008	15242383.5806808	NA	NA	NA	8159812.49617536	NA	NA	NA	NA	NA	8502469.42874707	NA	NA	3080653.09525926	16259592.2294803	8696300.64271328	NA	NA	NA	10150060.0174111	NA	15727458.542134	14788903.9669486	NA	2441043.00506082	NA	1346052.37552778	NA	5276419.4529775	1424737.43165828	11142841.7762642	18184652.836188	NA	2871338.26051234	NA	154122.277572841	17239612.4844882	NA	13444620.5260966	10235537.2633832	NA	12732859.155152	11868168.1312942	6282930.20196843	NA	NA	NA	NA	NA	NA	NA	17005836.4891632	13250699.4575987	NA	NA	NA	NA	8677449.34470299	19990653.4951801	11114727.5528886	NA	8342333.80689722	2957741.33697172	NA	NA	10984318.7346692	10539410.4381185	5101247.77470785	NA	NA	NA	NA	5480928.04815146	NA	12495936.7665717	NA	NA	NA	694180.855761675	1239748.73062983	NA	895933.50114947	4082680.11596971	5679570.21259389	NA	NA	8193551.07647362	12494845.2883535	5957186.87772518	NA	11886600.206499	NA	NA	NA	NA	NA	3361138.04856483	NA	NA	2947363.7262416	4885174.83041148	19304443.011908	NA	NA	NA	7618780.87377983	NA	10079635.6776654	12430565.7461373	NA	NA	6097620.42671092	NA	7552549.01428921	NA	NA	1689983.91197537	NA	NA	16882238.9708737	15900468.7532998	14441392.7435907	15838457.4348689	NA	NA	NA	12787852.4411356	13305897.8153874	NA	4582008.21027132	NA	NA	6422700.98872541	3840641.5436911	4072181.6872256	NA	NA	NA	NA	5700273.30005802	13260379.7404422	3794099.41354635	NA	NA	16004886.1572898	NA	3946922.38115537	NA	6569237.20358661	NA	7010088.67486227	NA	17258663.3154234	NA	5714134.30017392	7187263.1246561	NA	NA	NA	16230520.821939	NA	NA	20050087.7782206	NA	7036600.37266849	NA	11671572.887629	NA	995921.309420063	4320012.3721679	8173471.58412232	NA	NA	NA	NA	18702816.6539682	20055661.1764937	6454691.11013987	NA	2324610.87532106	NA	NA	NA	NA	NA	4783867.59806517	NA	NA
